%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   84  0.34980504E-02 -0.84000000E-02  0.34980504E-02  0.46319352E-10 -0.17891296E+03  0.46323138E-10  
   85  0.35441855E-02 -0.85000000E-02  0.35441855E-02  0.47056779E-10 -0.17990770E+03  0.47043577E-10  
   86  0.35903193E-02 -0.86000000E-02  0.35903193E-02  0.47767694E-10 -0.18090247E+03  0.47786585E-10  
   87  0.36364520E-02 -0.87000000E-02  0.36364520E-02  0.48382269E-10 -0.18189727E+03  0.48393330E-10  
   88  0.36825835E-02 -0.88000000E-02  0.36825835E-02  0.49090073E-10 -0.18289209E+03  0.49093159E-10  
   89  0.37287138E-02 -0.89000000E-02  0.37287138E-02  0.49700209E-10 -0.18388694E+03  0.49712420E-10  
   90  0.37748431E-02 -0.90000000E-02  0.37748431E-02  0.50324762E-10 -0.18488180E+03  0.50355593E-10  
   91  0.38209714E-02 -0.91000000E-02  0.38209714E-02  0.50977828E-10 -0.18587669E+03  0.50956187E-10  
   92  0.38670986E-02 -0.92000000E-02  0.38670986E-02  0.51509202E-10 -0.18687161E+03  0.51534447E-10  
   93  0.39132249E-02 -0.93000000E-02  0.39132249E-02  0.52112963E-10 -0.18786654E+03  0.52087935E-10  
   94  0.39593503E-02 -0.94000000E-02  0.39593503E-02  0.52720279E-10 -0.18886149E+03  0.52701822E-10  
   95  0.40054747E-02 -0.95000000E-02  0.40054747E-02  0.53166870E-10 -0.18985646E+03  0.53174632E-10  
   96  0.40515983E-02 -0.96000000E-02  0.40515983E-02  0.53804115E-10 -0.19085146E+03  0.53800015E-10  
   97  0.40977210E-02 -0.97000000E-02  0.40977210E-02  0.54267049E-10 -0.19184646E+03  0.54291244E-10  
   98  0.41438429E-02 -0.98000000E-02  0.41438429E-02  0.54853496E-10 -0.19284149E+03  0.54824687E-10  
   99  0.41899641E-02 -0.99000000E-02  0.41899641E-02  0.55275740E-10 -0.19383654E+03  0.55302448E-10  
  100  0.42360845E-02 -0.10000000E-01  0.42360845E-02  0.55756156E-10 -0.19483160E+03  0.55784894E-10  
