%Step       3-1(disp)       3-2(disp)       3-3(disp)       3-1(foce)       3-2(foce)       3-3(foce)  
   75  0.30210188E-01 -0.57661641E-01  0.30210188E-01 -0.10588414E-12 -0.69819225E+03  0.12668040E-09  
   76  0.30684400E-01 -0.58550383E-01  0.30684400E-01 -0.10694719E-12 -0.70750148E+03  0.12702128E-09  
   77  0.31158613E-01 -0.59439125E-01  0.31158613E-01  0.20551945E-12 -0.71681071E+03  0.12706861E-09  
   78  0.31632825E-01 -0.60327868E-01  0.31632825E-01 -0.14474924E-12 -0.72611994E+03  0.12652518E-09  
   79  0.32107037E-01 -0.61216610E-01  0.32107037E-01  0.19281949E-12 -0.73542917E+03  0.12661461E-09  
   80  0.32581250E-01 -0.62105352E-01  0.32581250E-01 -0.39722500E-12 -0.74473840E+03  0.12657030E-09  
   81  0.33055462E-01 -0.62994094E-01  0.33055462E-01 -0.92356759E-13 -0.75404763E+03  0.12665397E-09  
   82  0.33529674E-01 -0.63882837E-01  0.33529674E-01  0.12622385E-12 -0.76335686E+03  0.12641891E-09  
   83  0.34003887E-01 -0.64771579E-01  0.34003887E-01  0.20761710E-12 -0.77266609E+03  0.12663119E-09  
   84  0.34478099E-01 -0.65660321E-01  0.34478099E-01 -0.24243266E-13 -0.78197532E+03  0.12629736E-09  
   85  0.34952311E-01 -0.66549063E-01  0.34952311E-01  0.40406422E-12 -0.79128455E+03  0.12648981E-09  
   86  0.35426524E-01 -0.67437806E-01  0.35426524E-01  0.32153576E-12 -0.80059378E+03  0.12670883E-09  
   87  0.35900736E-01 -0.68326548E-01  0.35900736E-01  0.14545536E-12 -0.80990301E+03  0.12668653E-09  
   88  0.36374948E-01 -0.69215290E-01  0.36374948E-01 -0.55079999E-13 -0.81921224E+03  0.12623850E-09  
   89  0.36849161E-01 -0.70104032E-01  0.36849161E-01 -0.19164380E-12 -0.82852147E+03  0.12674122E-09  
   90  0.37323373E-01 -0.70992775E-01  0.37323373E-01 -0.37086073E-12 -0.83783070E+03  0.12599129E-09  
   91  0.37797585E-01 -0.71881517E-01  0.37797585E-01  0.25282708E-12 -0.84713993E+03  0.12669526E-09  
   92  0.38271798E-01 -0.72770259E-01  0.38271798E-01  0.30278795E-12 -0.85644916E+03  0.12655434E-09  
   93  0.38746010E-01 -0.73659001E-01  0.38746010E-01  0.29942064E-12 -0.86575839E+03  0.12625907E-09  
   94  0.39220222E-01 -0.74547744E-01  0.39220222E-01  0.17764824E-12 -0.87506762E+03  0.12643972E-09  
   95  0.39694435E-01 -0.75436486E-01  0.39694435E-01 -0.30599758E-12 -0.88437685E+03  0.12576751E-09  
   96  0.40168647E-01 -0.76325228E-01  0.40168647E-01  0.27373740E-13 -0.89368608E+03  0.12675225E-09  
   97  0.40642859E-01 -0.77213970E-01  0.40642859E-01 -0.35247544E-12 -0.90299531E+03  0.12521762E-09  
   98  0.41117072E-01 -0.78102713E-01  0.41117072E-01 -0.26314020E-13 -0.91230454E+03  0.12544223E-09  
   99  0.41591284E-01 -0.78991455E-01  0.41591284E-01 -0.38455738E-12 -0.92161377E+03  0.12593961E-09  
  100  0.42065496E-01 -0.79880197E-01  0.42065496E-01 -0.26820088E-13 -0.93092300E+03  0.12578432E-09  
