% for 3D Problem... 1: xx, 2: yy, 3: zz 4: yz, 5: zx, 6: xy
%Step       1-1(strn)       1-2(strn)       1-3(strn)       1-1(strs)       1-2(strs)       1-3(strs)  
   68 -0.31447619E-02 -0.15246593E-18 -0.54642510E-13  0.69525097E-08 -0.12749411E-13 -0.81247461E-09  
   69 -0.31938095E-02 -0.17787692E-18 -0.54906476E-13  0.69526145E-08 -0.15062196E-13 -0.80142437E-09  
   70 -0.32428571E-02 -0.15246593E-18 -0.55162975E-13  0.69525008E-08 -0.10105853E-13 -0.79064865E-09  
   71 -0.32919048E-02 -0.15585406E-18 -0.55412619E-13  0.69525630E-08 -0.96364453E-14 -0.78019937E-09  
   72 -0.33409524E-02 -0.13721934E-18 -0.55655376E-13  0.69526926E-08 -0.61634406E-14 -0.77003373E-09  
   73 -0.33900000E-02 -0.15077186E-18 -0.55891257E-13  0.69525825E-08 -0.74991121E-14 -0.76011993E-09  
   74 -0.34390476E-02 -0.89785492E-19 -0.56120735E-13  0.69527282E-08  0.16306702E-14 -0.75049284E-09  
   75 -0.34880952E-02 -0.19312351E-18 -0.56343927E-13  0.69526784E-08 -0.12926877E-13 -0.74113497E-09  
   76 -0.35371429E-02 -0.14738373E-18 -0.56561138E-13  0.69526589E-08 -0.53810166E-14 -0.73205703E-09  
   77 -0.35861905E-02 -0.14568967E-18 -0.56772105E-13  0.69527477E-08 -0.46894666E-14 -0.72318965E-09  
   78 -0.36352381E-02 -0.24394549E-18 -0.56977397E-13  0.69528561E-08 -0.17928879E-13 -0.71458599E-09  
   79 -0.36842857E-02 -0.17448879E-18 -0.57176962E-13  0.69527584E-08 -0.66128832E-14 -0.70620792E-09  
   80 -0.37333333E-02 -0.21853450E-18 -0.57370912E-13  0.69528578E-08 -0.12155583E-13 -0.69804421E-09  
   81 -0.37823810E-02 -0.15077186E-18 -0.57559824E-13  0.69526518E-08 -0.16516526E-14 -0.69014900E-09  
   82 -0.38314286E-02 -0.24394549E-18 -0.57743346E-13  0.69525790E-08 -0.14502078E-13 -0.68244250E-09  
   83 -0.38804762E-02 -0.24394549E-18 -0.57921883E-13  0.69525328E-08 -0.13170741E-13 -0.67495813E-09  
   84 -0.39295238E-02 -0.21514637E-18 -0.58095481E-13  0.69523338E-08 -0.79825125E-14 -0.66767587E-09  
